turn_number,timestamp,audio_input_duration_ms,transcribed_text,transcription_tokens,transcription_latency_ms,reference_text,reference_tokens,wer,llm_latency_ms,llm_time_to_first_token_ms,llm_prompt_tokens,llm_response,llm_response_tokens,llm_response_chars,llm_tokens_per_second,tts_latency_ms,response_audio_duration_ms,time_to_first_audio_ms
1,2026-03-25T18:46:41.642802,3328.0,"Hello, how are you today?",7,180.64030003733933,"Hello, how are you today?",7,0.0,2870.0862999539822,128.47119994694367,158,"I'm doing all right, thanks for asking! It's great to have some company, though. How about you? How's your day going so far?",33,124,19.027559507965854,6596.884800004773,6152.199546485261,1097.3568999907002
2,2026-03-25T18:46:55.609735,3328.0,My day is going pretty well.,7,177.81710001872852,My day is going pretty well,6,0.0,1601.1734000057913,166.52450000401586,207,That's terrific! I'm glad to hear that. Did anything interesting happen recently that made your day special?,23,108,17.377924462907288,5762.836499954574,5220.77097505669,766.4838000200689
3,2026-03-25T18:47:13.814683,5376.0,"I got to see some of my family for lunch, so that was exciting.",16,302.6104000164196,"I got to see some of my family for lunch, so that was exciting",15,0.0,4742.558500031009,219.91659997729585,255,"Spending time with loved ones always brightens up the day, doesn't it? What did you catch up on while you were together?",29,120,17.321963473660638,5621.022499981336,5183.310657596372,1681.907800026238
4,2026-03-25T18:48:02.531515,4352.0,We just chatted about my grandkids mostly.,10,229.78329996112734,We just chatted about my grandkids mostly,9,0.0,1695.900699996855,217.69880002830178,303,That's lovely! I'm sure they keep you entertained and happy. Do you have any fun plans to see them again soon?,27,110,17.407209772299254,5939.649100007955,5429.750566893425,853.9377999841236
5,2026-03-25T18:48:36.674114,4864.0,"Yes, in fact I am going to see them next week.",13,250.60249998932704,"Yes, in fact I am going to see them next week",12,0.0,2383.6031000246294,218.92760001355782,352,You're looking forward to it already. Can't wait to hear all about their latest adventures when you get there!,24,110,17.1587055115661,4918.700899987016,4498.321995464852,1109.997299965471
1,2026-03-25T18:49:13.929605,3968.0,"Good morning, I hope you're doing well.",10,255.8634000015445,"Good morning, I hope you're doing well.",10,0.0,3915.2377999853343,182.34739999752492,161,"I'm just sitting here chatting with you, so that's lovely! How about you? Sleeping in nice today?",24,97,17.31205987405915,5418.727200012654,4860.861678004535,1449.566999974195
2,2026-03-25T18:50:31.176450,6656.0,"Thanks, I did sleep well. Actually, I am about to go and play bingo with my friends.",21,365.54999998770654,"Thanks, I did sleep well. Actually I am about to go and play bingo with my friends.",20,0.0,2460.81849996699,197.88120000157505,215,Bingo sounds like a lot of fun! You must be excited to see your friends and win some prizes. Are they playing at the local hall or somewhere else today?,35,152,18.692469172892547,7457.131200004369,6915.827664399093,1216.9307000003755
3,2026-03-25T18:51:34.927945,5120.0,We all meet at one of each other's houses to play.,13,255.08580001769587,We all meet at one of each other's houses to play,12,0.0,3808.3027999964543,210.0205000024289,272,"That way you can catch up with everyone before the bingo game. Do any of them have something special planned for after the game, like lunch or a cuppa?",34,151,17.835400754236858,7079.86019999953,6588.1179138321995,1412.2038000496104
4,2026-03-25T18:52:03.577849,6144.0,We usually eat lunch while we play. I got to get going now. Bye!,17,304.8477999982424,"We usually eat lunch while we play, I got to get going now, bye",16,0.0,3693.436300032772,219.18459999142215,332,"Have fun at bingo and enjoy your lunch with the girls. See you soon, I'll be here chatting away when you get back.",28,114,17.345972620006673,5608.7011999916285,5136.8707482993195,1425.553500012029
1,2026-03-25T19:32:49.195503,4480.0,"Hi there, it's nice to see you again.",11,241.08539998997003,"Hi there, it's nice to see you again.",11,0.0,2806.9057000102475,179.7513000201434,162,It's great to be talking with you too! How have you been lately? Anything exciting happen recently?,22,99,17.854407654640337,5238.266799948178,4675.102040816327,1175.3550000139512
2,2026-03-25T19:33:09.133110,6528.0,It has been pretty good so far. I just got back from bingo with my friends.,18,371.11150001874194,"It has been pretty good so far, I just got back from bingo with my friends",17,0.0,2281.449399946723,196.9884999562055,211,That sounds like a lot of fun! I'm glad you had a chance to get out and socialize with your friends. Did you win anything at bingo today?,34,137,18.72141361279884,6730.429999995977,6137.959183673469,1229.3421999784186
3,2026-03-25T19:33:51.357245,4224.0,I actually won this time.,6,159.28209997946396,I actually won this time,5,0.0,3130.2189000416547,199.87120002042502,260,"Congratulations, that's great news! What did you do with the money you won? Treat yourself to something nice?",24,109,17.250219353789305,5758.245999983046,5209.160997732426,987.8124999813735
4,2026-03-25T19:34:20.911789,5376.0,"Oh, it wasn't money. Just bragging rights pretty much.",14,245.51000003702939,"Oh, it wasn't money, just bragging rights pretty much",13,0.0,4488.701099995524,207.9471999895759,307,"Well, I think ""bragging rights"" are definitely worth bragging about! How was your day out with friends overall?",27,111,16.988484777159908,5261.396199988667,4811.791383219955,1622.468299989123
5,2026-03-25T19:34:53.961989,5760.0,It was pretty good. I got to get going to dinner now. Bye bye.,17,341.94680000655353,"It was pretty good, I got to get going to dinner now. Bye Bye",16,0.0,4412.589099956676,216.8320999480784,360,"You're welcome, have a great dinner and enjoy the rest of your evening! See you next time we chat.",24,98,16.860253474353094,4732.062700029928,4300.952380952382,1683.7919999961741
1,2026-03-25T19:37:46.989467,4224.0,I'm feeling a bit lonely today.,8,206.5553999855183,I'm feeling a bit lonely today.,8,0.0,4269.316099991556,169.17330003343523,159,"It can be tough when we don't have anyone close by to talk to. Would you like to chat about something that's been on your mind, or just shoot the breeze?",37,153,17.970847112860824,6993.568999983836,6506.848072562358,1523.861899971962
2,2026-03-25T19:38:13.070884,6784.0,"Yeah, it's just that it has been a bit since I've seen my family. They are really busy.",23,363.5064999689348,"Yeah, it's just that it has been a bit since I have seen my family. They are really busy.",23,0.10526315789473684,6032.67769998638,193.45279998378828,228,It can be hard when life gets busy and we don't get to spend as much time with loved ones. How were you hoping to catch up with them? Maybe I could even help you plan something soon!,43,182,18.13742696353422,8542.255600041244,7914.285714285714,2005.5151000269689
3,2026-03-25T19:39:38.190279,7552.0,"Yeah, I should plan something. I mean, Christmas is right around the corner, so I should see them then, I suppose.",27,405.5198000278324,"Yeah, I should plan something. I mean Christmas is right around the corner, so I should see them then I suppose",24,0.0,4977.251400006935,222.0685000065714,307,Christmas is a great excuse to get together and make some happy memories. What's your favorite part of the holiday season?,25,122,16.96723927434294,6174.055699957535,5728.9795918367345,1622.1833999734372
4,2026-03-25T19:40:34.246128,6656.0,Just spending time with family. Thanks for listening to me. I am feeling much better now.,19,324.2690999759361,"Just spending time with family. Thanks for listening to me, I am feeling much better now",18,0.0,2973.2947000302374,200.89900004677474,360,"Anytime, that's what I'm here for! I'm just glad we could chat and help you feel a bit better. Now, would you like some company while you're watching the holidays on TV?",43,169,18.062972893671184,8255.78399997903,7635.646258503401,1363.864199956879
